ID,Name,Price,Brand
1597,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",Infinix
2822,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",Realme
5721,vivo Y17s - 6GB RAM - 128GB ROM - 5000mAh Battery - 50+2 MP Camera - Helio G85 Processor,"Rs. 44,999",vivo
8701,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 64,999",Redmi
7342,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"Rs. 24,999",Redmi
1923,"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 43,499",Infinix
4174,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,"Rs. 50,499",Redmi
7936,Samsung Galaxy A04s 4GB+128GB,"Rs. 48,999",Samsung
5986,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 39,999",Tecno
3690,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 28,999",Redmi
3712,"Infinix Hot 30 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 36,999",Infinix
1844,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,499",Infinix
8054,Samsung Galaxy A14 6GB+128GB,"Rs. 64,999",Samsung
2224,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 29,999",Samsung
3728,Honor X5 Dual SIM 2GB RAM 32GB 4G 1Year Official Warranty,"Rs. 21,499",Honor
6128,"Redmi 12C - 6.71"" Inch Display - 4GB RAM","Rs. 25,990",Redmi
1546,"Redmi 12C, 4GB RAM 128GB ROM , 50 MP Al Dual Camera , Finger Sensor , 5000 mAh Battery , Fast Charging","Rs. 29,999",Redmi
1635,Samsung Galaxy A24 8GB+128GB,"Rs. 79,999",Samsung
6639,itel A60s 4GB RAM* +128GB ROM 6.6″ HD+ Display 5000mAh Battery PTA approved Official Brand Warranty,"Rs. 22,399",itel
4972,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 33,999",Redmi
3002,Samsung Galaxy A14 4GB+128GB,"Rs. 62,999",Samsung
3849,Samsung Galaxy A54 8GB+256GB,"Rs. 128,999",Samsung
1531,vivo V29e 5G - 8+8GB Extended RAM - 256GB ROM - 50MP AF Group Selfie - 120Hz Amoled Display,"Rs. 109,999",vivo
3132,Original Vivo Y85 with Box & Charger - Dual Sim Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile,"Rs. 15,999",Original
9475,"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM","Rs. 27,999",Itel
4838,"Oppo A57 - 5.2"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 13,999",Oppo
6289,"Oppo A57 2022 - 6.5"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 26,999",Oppo
3277,A57 2022 - 6.56 Inches HD+ Display - 4GB RAM 64GB ROM -13MP + 2MP + 5MP Camera - Dual SIM (WIth Box Only - Multi Color),"Rs. 26,999",A57
7534,Sparx neo 7 ultra 8GB RAM 128GB ROM || 50 MP dual camera || 5000mAh battery || PTA approved || 1 year brand warranty,"Rs. 31,499",Sparx
9312,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,999",Infinix
7736,Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 45,496",Tecno
5730,Sparx Neo X || 4GB RAM 64GB ROM || 50MP +2MP Camera || 5000mAh Battery || PTA Approved || 1 Year Brand Warranty,"Rs. 24,999",Sparx
1639,Samsung Galaxy A04s 4GB - 128GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 42,499",Samsung
2065,itel A60s 6.6″ HD+ Display | 8+128GB Storage | HD+ display | 8MP Dual Rear Camera,"Rs. 22,749",itel
5026,Xiaomi 13T (12GB-256GB) PTA Approved With Official 1 Year Warranty,"Rs. 169,999",Xiaomi
3612,"Samsung Galaxy A04 - 6.5"" Inch Display - 3GB RAM - 32GB ROM","Rs. 23,499",Samsung
2373,TECNO CAMON 20 - 8GB+8GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 47,000",TECNO
3876,OPPO A17 4GB + 64GB 5000mAh Battery,"Rs. 36,999",OPPO
6141,"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 49,999",Redmi
5718,"Tecno Camon 20 - 8GB/256GB - 64 MP Camera - 5000 mAH- Battery - 6.67""","Rs. 53,999",Tecno
3300,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",Infinix
8393,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",Realme
1066,vivo Y17s - 6GB RAM - 128GB ROM - 5000mAh Battery - 50+2 MP Camera - Helio G85 Processor,"Rs. 44,999",vivo
1306,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 64,999",Redmi
9387,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"Rs. 24,999",Redmi
7481,"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 43,499",Infinix
9778,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,"Rs. 50,499",Redmi
1228,Samsung Galaxy A04s 4GB+128GB,"Rs. 48,999",Samsung
4354,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 39,999",Tecno
7618,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 28,999",Redmi
4144,"Infinix Hot 30 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 36,999",Infinix
5448,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,499",Infinix
7733,Samsung Galaxy A14 6GB+128GB,"Rs. 64,999",Samsung
6402,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 29,999",Samsung
2018,Honor X5 Dual SIM 2GB RAM 32GB 4G 1Year Official Warranty,"Rs. 21,499",Honor
7137,"Redmi 12C - 6.71"" Inch Display - 4GB RAM","Rs. 25,990",Redmi
7272,"Redmi 12C, 4GB RAM 128GB ROM , 50 MP Al Dual Camera , Finger Sensor , 5000 mAh Battery , Fast Charging","Rs. 29,999",Redmi
6286,Samsung Galaxy A24 8GB+128GB,"Rs. 79,999",Samsung
5084,itel A60s 4GB RAM* +128GB ROM 6.6″ HD+ Display 5000mAh Battery PTA approved Official Brand Warranty,"Rs. 22,399",itel
4821,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 33,999",Redmi
7348,Samsung Galaxy A14 4GB+128GB,"Rs. 62,999",Samsung
2399,Samsung Galaxy A54 8GB+256GB,"Rs. 128,999",Samsung
5442,vivo V29e 5G - 8+8GB Extended RAM - 256GB ROM - 50MP AF Group Selfie - 120Hz Amoled Display,"Rs. 109,999",vivo
4381,Original Vivo Y85 with Box & Charger - Dual Sim Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile,"Rs. 15,999",Original
5240,"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM","Rs. 27,999",Itel
5734,"Oppo A57 - 5.2"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 13,999",Oppo
6248,"Oppo A57 2022 - 6.5"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 26,999",Oppo
5250,A57 2022 - 6.56 Inches HD+ Display - 4GB RAM 64GB ROM -13MP + 2MP + 5MP Camera - Dual SIM (WIth Box Only - Multi Color),"Rs. 26,999",A57
9109,Sparx neo 7 ultra 8GB RAM 128GB ROM || 50 MP dual camera || 5000mAh battery || PTA approved || 1 year brand warranty,"Rs. 31,499",Sparx
1904,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,999",Infinix
3334,Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 45,496",Tecno
3312,Sparx Neo X || 4GB RAM 64GB ROM || 50MP +2MP Camera || 5000mAh Battery || PTA Approved || 1 Year Brand Warranty,"Rs. 24,999",Sparx
8631,Samsung Galaxy A04s 4GB - 128GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 42,499",Samsung
5035,itel A60s 6.6″ HD+ Display | 8+128GB Storage | HD+ display | 8MP Dual Rear Camera,"Rs. 22,749",itel
5577,Xiaomi 13T (12GB-256GB) PTA Approved With Official 1 Year Warranty,"Rs. 169,999",Xiaomi
8922,"Samsung Galaxy A04 - 6.5"" Inch Display - 3GB RAM - 32GB ROM","Rs. 23,499",Samsung
8127,TECNO CAMON 20 - 8GB+8GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 47,000",TECNO
4285,OPPO A17 4GB + 64GB 5000mAh Battery,"Rs. 36,999",OPPO
4700,"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 49,999",Redmi
3284,"Tecno Camon 20 - 8GB/256GB - 64 MP Camera - 5000 mAH- Battery - 6.67""","Rs. 53,999",Tecno
4819,Redmi 12C || 4GB Ram 128GB Rom || 6.71 Inches IPS Display || 5000 mAh - Battery charging 10W wired,"Rs. 28,999",Redmi
3865,Infinix Smart 7 - 64GB ROM - 4GB RAM - PTA APPROVED OFFICIAL WARRANTY,"Rs. 25,300",Infinix
8829,"Mobile Y85a, Dual Sim, Display 6.2""in, Storage 4/64 GB, Battery 3260 mAh, PTA Approved.","Rs. 17,950",Mobile
3892,Redmi Note 12 Pro (8GB-256GB) PTA Approved With Official 1 Year Warranty,"Rs. 89,999",Redmi
8977,VGOTEL NOTE 23 8+8=16GB RAM 256GB ROM = 5000mAh BATTERY,"Rs. 30,999",VGOTEL
2675,"Xiaomi 13T Pro - 6.67"" Inch AMOLED Display - 12GB RAM - 512GB ROM","Rs. 238,499",Xiaomi
9614,Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 51,399",Redmi
1251,"Sparx S7 2GB Ram 32GB Rom Tripple Camera 4000mAh Battery 5.45"" Display with One year brand warranty and PTA Approved","Rs. 14,299",Sparx
4466,"Redmi 12 - 6.79"" Inch Display - 8GB RAM - 128GB ROM","Rs. 43,950",Redmi
7196,"Redmi A2 Plus , 3GB RAM 64GB ROM , 8MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 20,999",Redmi
4418,Xiaomi Redmi Note 12 - 8GB RAM 128GB/256GB ROM - 5000mAh Battery,"Rs. 51,999",Xiaomi
3836,"Tecno Spark 10 Pro , 8GB RAM 128GB ROM , Back Camera 50 MP , fingersensor , 5000mAh Battery","Rs. 37,999",Tecno
6909,"Redmi A2 Plus , 3GB Ram 4GB Rom , 6.5 Inches IPS Display , 5000 mAh - Battery","Rs. 19,999",Redmi
8601,Google Pixel 4a 5G 6GB Ram 128GB Rom,"Rs. 56,000",Google
1232,"Xiaomi Note 12 , 8GB RAM 128GB ROM , 50MP Main Camera , Finger Sensor , 5000mAh Fast Chargiing","Rs. 49,999",Xiaomi
1976,Itel A60s || 4GB + 128GB || 6.6 inches IPS Display || Battery Li-Po 5000 mAh,"Rs. 22,999",Itel
5294,"infinix Smart 7 HD , 2GB + 2GB Ram 64GB Rom , 6.6 Inches HD , 5000 mAh- Battery","Rs. 21,399",infinix
9040,Imported Oppo A57 with Box Charger - Dual Sim Approved - 3GB RAM Mobile - Snapdragon Processor Mobile,"Rs. 12,993",Imported
1235,"Infinix Smart 7 , Back Camera 13 MP , 4GB RAM 64GB ROM , Fingerprint , 5000 mAh Battery","Rs. 25,999",Infinix
5628,"Infinix Note 30 RAM 8GB+8GB & 256GB Storage 6.78"" FHD 5000mAh Mega Battery Pta Approved Official Warranty","Rs. 47,299",Infinix
4255,Itel S23 - 8GB Ram - 256GB Rom - 5000mAh Battery,"Rs. 32,500",Itel
8352,Vgotel New 12 - 2GB RAM 64GB ROM - 6.52 Inches Display - 5000mAh Battery,"Rs. 16,999",Vgotel
3940,"Sparx Neo 7 Ultra 128GB ROM | 8GB RAM Battery: 5000mAh Display: 6.52"" PTA APPROVED OFFICIAL BRAND WARRANTY","Rs. 32,599",Sparx
5842,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 46,999",Infinix
4235,vivo V29 5G - 12GB RAM - 256GB ROM - 50MP OIS Camera - In-Display Fingerprint - 80W Flashcharge,"Rs. 159,999",vivo
4942,Nokia 105 Nokia 106 Dual Sim Box Pack Non Warranty,"Rs. 2,999",Nokia
8528,Infinix Note 30 Pro || 8GB RAM 256Gb ROM || 108MP Triple Camera || 5000mAh Battery (Fast Charging 68W ) || PTA Approved || 1 Year Brand Warranty,"Rs. 62,799",Infinix
9586,"Tecno Camon 20 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 48,999",Tecno
5358,Infinix Note 30 Pro - 6.67 Inch Display - 8GB + 8GB RAM - 256GB ROM,"Rs. 63,899",Infinix
2594,Tecno Spark 10 Pro RAM 8 GB ROM 128 GB front Camera 32 MP Back Camera 50 MP Battery Type5000 mAh,"Rs. 37,999",Tecno
6319,"Tecno Spark 10C , 4GB + 4GB Ram 128GB Rom , 6.6 Inches IPS Display 90Hz , 5000 mAh- Fast battery 18W wired","Rs. 30,499",Tecno
2537,"Tecno Spark 10 , 4GB RAM 128GB ROM , BackCamera 50MP , Fingerprint , 5000 mAh Battery","Rs. 29,999",Tecno
5179,Infinix Note 30 8GB Ram 256GB Memory,"Rs. 45,498",Infinix
1929,"Infinix Hot 30 Play , 4GB RAM 64GB ROM , 16MP Main Camera , Fingersensor , 6000mAh Fast charging 18W","Rs. 31,999",Infinix
6303,Zero 30 4G - 8+8GB RAM 256GB ROM 108MP Ultra Clear Camera 45W Super Charge with 5000mAh Battery,"Rs. 69,980",Zero
6011,"Xiaomi Redmi 12 || 8GB + 128GB || 6.79"" IPS Display || 5000 mah Battery","Rs. 42,999",Xiaomi
6986,Redmi 12C 4GB RAM + 64GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 26,480",Redmi
8719,"Infinix Hot 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 37,999",Infinix
1519,Tecno Camon 20 || 8GB ROM 256GB ROM || 64MP Triple Camera || 5000mAh Battery (Fast Charging) || PTA Approved || 1Year Brand Warrenty,"Rs. 46,499",Tecno
8081,"Tecno Camon 20 - 8GB RAM 256GB ROM - 6.67"" AMOLED Display - Finger On Screen - 5000mAh Battery - 33W Fast Charge - 32MP Selfie Camera - 64 MP + 2MP + AI Cam + Quad Flash - PTA Approved","Rs. 47,999",Tecno
8949,Samsung Galaxy A14 - 6GB ROM 128 GB - PTA Approved 1 Year Official Warranty,"Rs. 54,999",Samsung
6374,"Vivo Y17s , 6GB Ram 128GB Rom , Mediatek Helio G85 , 6.56 Inches IPS Display , 5000 mAh- Fast battery 15W","Rs. 44,999",Vivo
4740,HONOR X5 - 2GB RAM 32GB ROM - 6.5 Inch - Dual SIM - 5000mAh Battery,"Rs. 19,499",HONOR
5142,iPhone X - Official PTA Approved - 64gb and 256gb - original battery with Face id Working 100% - Best Phone for Gaming and Photography,"Rs. 92,999",iPhone
1245,"Infinix Hot 30 Play RAM 4 GB ROM 64 GB Front Camera 8 MP Back Camera 16 MP + QVGA Battery Type Li-Po 6000 mAh, non-removable","Rs. 29,980",Infinix
1279,LG V60 Thinq 5G 8GB Ram 128GB Rom Single Sim,"Rs. 56,000",LG
3378,"Xiaomi 13T , 12GB RAM 256GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 179,999",Xiaomi
5814,"Realme C33 , 4GB RAM 64GB ROM , Fingersensor , BackCamera 50MP , 5000mAh Battery","Rs. 30,999",Realme
8117,"Redmi Note 12s - 6.43"" Inch Display - 8GB RAM - 256GB ROM","Rs. 73,450",Redmi
5141,Vivo Y51 - PTA Approved - Dual Sim,"Rs. 9,591",Vivo
4182,"Xiaomi 13T - 6.67"" Inch Display - 12GB RAM - 256GB ROM","Rs. 169,899",Xiaomi
8236,Infinix Hot 30 8GB Ram 128GB Memory,"Rs. 35,989",Infinix
4268,itel S23 6.6″ HD+ Display | Up to 16+256GB Storage with Memory Fusion | Color Changing Design | 50 MP AI Camera,"Rs. 33,499",itel
6481,Tecno POVA 5 Pro 5G 256GB ROM + 8GB RAM 5000mAh Mega Battery Pta Approevd Official Brand Warranty,"Rs. 57,599",Tecno
7477,"Redmi A1 Plus - 6.52"" Inch Display - 2GB RAM - 32GB ROM","Rs. 18,899",Redmi
1369,Samsung Galaxy A04e 3GB+32GB,"Rs. 33,999",Samsung
6292,Tecno Camon 20 Pro 8GB 256GB | 64-megapixel primary camera | MediaTek G99 processor | 5000mAh battery | 1 Year Brand warranty,"Rs. 61,999",Tecno
7922,"Tecno Spark Go 2023 , 4GB RAM 64GB ROM , Back Camera 13 MP , Fingersensor , 5000mAh Battery","Rs. 25,999",Tecno
2776,"Realme Narzo 50A Prime - 6.6"" Inch Display - 4GB RAM - 64GB & 128GB ROM","Rs. 30,590",Realme
3277,Infinix Note 30 Pro 8GB Ram 256 GB Memory,"Rs. 62,989",Infinix
7277,"Samsung A54 5G - 6.4"" Inch Display - 8GB RAM","Rs. 134,999",Samsung
3756,"Nokia C31 - 4GB / 64GB - Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 64GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved","Rs. 24,999",Nokia
6548,"Xiaomi Redmi 12 , 8GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 43,699",Xiaomi
7954,INFINIX NOTE 30 - 8GB+8GB =16GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 46,799",INFINIX
2028,Sparx Neo 7 Plus || 4 Gb RAM 64 GB ROM || 13MP Camera || 5000mAh Battery || PTA Approved || 1Year Brand Warranty,"Rs. 23,299",Sparx
6695,Infinix Smart 7 || 4GB + 3GB Ram 64GB Rom || 6.6 Inches HD + Sunlight Display || 5000 mAh- Fast charging 10W,"Rs. 25,999",Infinix
1545,"Infinix Note 30 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , 5000mAh Battery","Rs. 64,999",Infinix
1448,Redmi 12 - 8GB RAM 128GB ROM - Dual SIM - 5000mAh Battery,"Rs. 44,999",Redmi
5130,"Infinix Smart 7 HD , 2GB RAM 64GB ROM , 8MP Main Camera , Fingersenor , 5000 mAh Battery","Rs. 21,499",Infinix
2324,"Infinix Note 30 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 69,999",Infinix
3508,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 34,499",Samsung
2402,"Nokia C31 Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 128GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved","Rs. 33,999",Nokia
7636,"Redmi 12C, 4GB RAM 128GB ROM , 50 MP Al Dual Camera , Finger Sensor , 5000 mAh Battery , Fast Charging","Rs. 28,999",Redmi
3218,"Xiaomi Poco X5 Pro - 6.67"" Inch FHD+ Display - 8GB RAM -256GB ROM","Rs. 110,750",Xiaomi
7473,"Imported NEW Vivo Y55 Mini - 2GB Ram Mobile - Dual Sim Approved - Phone Only (No Box, Charger & Accessories Included)","Rs. 9,996",Imported
4900,"Samsung Galaxy A13 - 6.6"" Inch display - 4GB RAM","Rs. 43,499",Samsung
8277,Combo Deal - Vivo Y85 - Dual Sim PTA Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile,"Rs. 16,998",Combo
1511,"Infinix Hot 30 Play - 6.82"" Inch Display - 4GB RAM - 64GB / 12GB ROM","Rs. 29,899",Infinix
8650,Infinix Hot 30 || 8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 39,999",Infinix
3690,"Itel S23 , 8GB RAM 256GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 32,999",Itel
